Pick,Ovr,Franchise,Player,Date/Time,Elapsed,Points,Comments
5.05,53,Meat Jerking Beef Boys,"Johnson, Kerryon DET RB",Mon Aug 20 10:09:34 p.m. ET 2018,5 minutes,139.4,
5.06,54,Monty Express,"Miller, Lamar HOU RB",Mon Aug 20 10:10:30 p.m. ET 2018,56 seconds,175.6,
5.07,55,Autodraft Jesus,"Engram, Evan NYG TE",Mon Aug 20 10:10:30 p.m. ET 2018,-,126.3,[Pick made based on Pre-Draft List]
5.08,56,The John Dorseys,"Tate, Golden PHI WR",Mon Aug 20 10:17:10 p.m. ET 2018,6 minutes,182.9,
5.09,57,Old No.7,"Lynch, Marshawn OAK RB",Mon Aug 20 10:28:26 p.m. ET 2018,11 minutes,79,
5.1,58,Arrowhead Hero,"Fuller, Will HOU WR",Mon Aug 20 10:29:40 p.m. ET 2018,1 minute,109.3,
5.11,59,Tittsburgh Feelers,"Michel, Sony NEP RB",Mon Aug 20 10:33:59 p.m. ET 2018,4 minutes,139.1,
5.12,60,Too Hot To Handle,"Jones, Ronald TBB RB",Mon Aug 20 10:35:56 p.m. ET 2018,1 minute,20.7,
6.01,61,Too Hot To Handle,"Penny, Rashaad SEA RB",Mon Aug 20 10:40:28 p.m. ET 2018,4 minutes,70.4,
6.02,62,Tittsburgh Feelers,"Watkins, Sammy KCC WR",Mon Aug 20 10:45:50 p.m. ET 2018,5 minutes,115.1,
6.03,63,Arrowhead Hero,"Johnson, Duke CLE RB",Mon Aug 20 10:46:25 p.m. ET 2018,35 seconds,132,
6.04,64,Old No.7,"Ingram, Mark NOS RB",Mon Aug 20 10:49:42 p.m. ET 2018,3 minutes,142.5,
6.05,65,The John Dorseys,"Wilson, Russell SEA QB",Mon Aug 20 10:50:40 p.m. ET 2018,58 seconds,378.42,
6.06,66,Autodraft Jesus,"Burton, Trey CHI TE",Mon Aug 20 10:50:40 p.m. ET 2018,-,147.1,[Pick made based on Pre-Draft List]
6.07,67,Monty Express,"Newton, Cam CAR QB",Mon Aug 20 10:54:55 p.m. ET 2018,4 minutes,333.6,
6.08,68,Meat Jerking Beef Boys,"Brady, Tom NEP QB",Mon Aug 20 10:55:23 p.m. ET 2018,28 seconds,348.3,
6.09,69,Franchise 10,"Olsen, Greg CAR TE",Mon Aug 20 10:59:15 p.m. ET 2018,3 minutes,80.1,
6.1,70,The Sheriff,"Anderson, Robby NYJ WR",Mon Aug 20 11:00:45 p.m. ET 2018,1 minute,159.4,
6.11,71,Vinegar Strokes,"Jones, Marvin DET WR",Mon Aug 20 11:01:34 p.m. ET 2018,49 seconds,115.8,
6.12,72,2 Much Johnson 4 You,"Brees, Drew NOS QB",Mon Aug 20 11:02:06 p.m. ET 2018,32 seconds,374.98,
7.01,73,2 Much Johnson 4 You,"Crabtree, Michael BAL WR",Mon Aug 20 11:03:17 p.m. ET 2018,1 minute,132.7,
7.02,74,Vinegar Strokes,"Mack, Marlon IND RB",Mon Aug 20 11:04:29 p.m. ET 2018,1 minute,178.1,
7.03,75,The Sheriff,"Burkhead, Rex NEP RB",Mon Aug 20 11:05:52 p.m. ET 2018,1 minute,49.7,It's actually ?? head
7.04,76,Franchise 10,"Nelson, Jordy OAK WR",Mon Aug 20 11:11:29 p.m. ET 2018,5 minutes,156.7,
7.05,77,Meat Jerking Beef Boys,"Rudolph, Kyle MIN TE",Mon Aug 20 11:13:01 p.m. ET 2018,1 minute,151.4,
7.06,78,Monty Express,"Crowell, Isaiah NYJ RB",Mon Aug 20 11:16:42 p.m. ET 2018,3 minutes,146.7,
7.07,79,Autodraft Jesus,"Reed, Jordan WAS TE",Mon Aug 20 11:16:42 p.m. ET 2018,-,119.8,[Pick made based on Pre-Draft List]
7.08,80,The John Dorseys,"Williams, Jamaal GBP RB",Mon Aug 20 11:24:05 p.m. ET 2018,7 minutes,114.4,
7.09,81,Old No.7,"Coleman, Tevin ATL RB",Mon Aug 20 11:26:23 p.m. ET 2018,2 minutes,196.6,
7.1,82,Arrowhead Hero,"Cohen, Tarik CHI RB",Mon Aug 20 11:28:24 p.m. ET 2018,2 minutes,238.94,
7.11,83,Tittsburgh Feelers,"Chubb, Nick CLE RB",Mon Aug 20 11:29:29 p.m. ET 2018,1 minute,203.5,
7.12,84,Too Hot To Handle,"Woods, Robert LAR WR",Mon Aug 20 11:35:45 p.m. ET 2018,6 minutes,265.6,
8.01,85,Too Hot To Handle,"Carson, Chris SEA RB",Mon Aug 20 11:37:28 p.m. ET 2018,1 minute,201.4,
8.02,86,Tittsburgh Feelers,"Guice, Derrius WAS RB",Mon Aug 20 11:41:59 p.m. ET 2018,4 minutes,-,
8.03,87,Arrowhead Hero,"Ridley, Calvin ATL WR",Mon Aug 20 11:44:45 p.m. ET 2018,2 minutes,212.8,
8.04,88,Old No.7,"Williams, Mike LAC WR",Mon Aug 20 11:48:35 p.m. ET 2018,3 minutes,183.2,
8.05,89,The John Dorseys,"Goodwin, Marquise SFO WR",Mon Aug 20 11:53:03 p.m. ET 2018,4 minutes,93.4,
8.06,90,Autodraft Jesus,"Lewis, Dion TEN RB",Mon Aug 20 11:53:03 p.m. ET 2018,-,160.7,[Pick made based on Pre-Draft List]
8.07,91,Monty Express,"Funchess, Devin CAR WR",Tue Aug 21 8:48:35 a.m. ET 2018,8 hours,122.9,
8.08,92,Meat Jerking Beef Boys,"Kupp, Cooper LAR WR",Tue Aug 21 8:48:35 a.m. ET 2018,-,141.1,[Pick made based on Pre-Draft List]
8.09,93,Franchise 10,"Edelman, Julian NEP WR",Tue Aug 21 8:51:00 a.m. ET 2018,2 minutes,207.42,
8.1,94,The Sheriff,"Hyde, Carlos JAC RB",Tue Aug 21 9:13:46 a.m. ET 2018,22 minutes,98.4,
8.11,95,Vinegar Strokes,"Graham, Jimmy GBP TE",Tue Aug 21 9:23:29 a.m. ET 2018,9 minutes,130.6,
8.12,96,2 Much Johnson 4 You,"Moore, D.J. CAR WR",Tue Aug 21 9:27:51 a.m. ET 2018,4 minutes,162,
9.01,97,2 Much Johnson 4 You,"Parker, DeVante MIA WR",Tue Aug 21 9:29:07 a.m. ET 2018,1 minute,60.9,
9.02,98,Vinegar Strokes,"Shepard, Sterling NYG WR",Tue Aug 21 9:31:42 a.m. ET 2018,2 minutes,182.5,
9.03,99,The Sheriff,"Walker, Delanie TEN TE",Tue Aug 21 9:31:42 a.m. ET 2018,-,9.2,[Pick made based on Pre-Draft List]
9.04,100,Franchise 10,"Crowder, Jamison WAS WR",Tue Aug 21 9:41:48 a.m. ET 2018,10 minutes,85.8,
9.05,101,Meat Jerking Beef Boys,"Bryant, Dez NOS WR",Tue Aug 21 10:12:30 a.m. ET 2018,30 minutes,-,
9.06,102,Monty Express,"Benjamin, Kelvin KCC WR",Tue Aug 21 10:15:33 a.m. ET 2018,3 minutes,69,
9.07,103,Autodraft Jesus,"Garoppolo, Jimmy SFO QB",Tue Aug 21 10:15:33 a.m. ET 2018,-,58.02,[Pick made based on Pre-Draft List]
9.08,104,The John Dorseys,"Njoku, David CLE TE",Tue Aug 21 10:19:09 a.m. ET 2018,3 minutes,143.9,
9.09,105,Old No.7,"Cobb, Randall GBP WR",Tue Aug 21 10:29:12 a.m. ET 2018,10 minutes,89.3,
9.1,106,Arrowhead Hero,"Doyle, Jack IND TE",Tue Aug 21 11:54:51 a.m. ET 2018,1 hour,60.5,
9.11,107,Tittsburgh Feelers,"Howard, O.J. TBB TE",Tue Aug 21 11:57:07 a.m. ET 2018,2 minutes,123.5,
9.12,108,Too Hot To Handle,"Agholor, Nelson PHI WR",Tue Aug 21 12:16:37 p.m. ET 2018,19 minutes,168.4,
10.01,109,Too Hot To Handle,"Doctson, Josh WAS WR",Tue Aug 21 12:17:25 p.m. ET 2018,48 seconds,109.2,
10.02,110,Tittsburgh Feelers,"Thompson, Chris WAS RB",Tue Aug 21 12:22:12 p.m. ET 2018,4 minutes,91.6,
10.03,111,Arrowhead Hero,"Mahomes, Patrick KCC QB",Tue Aug 21 12:22:12 p.m. ET 2018,-,538.08,[Pick made based on Pre-Draft List]
10.04,112,Old No.7,"Rivers, Philip LAC QB",Tue Aug 21 12:35:08 p.m. ET 2018,12 minutes,358.02,
10.05,113,The John Dorseys,"Kelley, Rob WAS RB",Tue Aug 21 12:41:24 p.m. ET 2018,6 minutes,0.8,
10.06,114,Autodraft Jesus,"Luck, Andrew IND QB",Tue Aug 21 12:41:24 p.m. ET 2018,-,411.92,[Pick made based on Pre-Draft List]
10.07,115,Monty Express,"Clement, Corey PHI RB",Tue Aug 21 12:47:51 p.m. ET 2018,6 minutes,81.1,
10.08,116,Meat Jerking Beef Boys,"Goff, Jared LAR QB",Tue Aug 21 12:47:51 p.m. ET 2018,-,380.32,[Pick made based on Pre-Draft List]
10.09,117,Franchise 10,"Montgomery, Ty BAL RB",Tue Aug 21 1:06:58 p.m. ET 2018,19 minutes,73.3,
10.1,118,The Sheriff,"Stafford, Matthew DET QB",Tue Aug 21 1:11:32 p.m. ET 2018,4 minutes,254.18,
10.11,119,Vinegar Strokes,"Sanders, Emmanuel DEN WR",Tue Aug 21 1:11:32 p.m. ET 2018,-,203.22,[Pick made based on Pre-Draft List]
10.12,120,2 Much Johnson 4 You,"Eagles, Philadelphia PHI Def",Tue Aug 21 1:22:03 p.m. ET 2018,10 minutes,96,
11.01,121,2 Much Johnson 4 You,"Garcon, Pierre SFO WR",Tue Aug 21 1:22:23 p.m. ET 2018,20 seconds,58.6,
11.02,122,Vinegar Strokes,"Miller, Anthony CHI WR",Tue Aug 21 1:24:25 p.m. ET 2018,2 minutes,120.22,
11.03,123,The Sheriff,"White, James NEP RB",Tue Aug 21 1:28:16 p.m. ET 2018,3 minutes,276.6,
11.04,124,Franchise 10,"Jaguars, Jacksonville JAC Def",Tue Aug 21 1:37:16 p.m. ET 2018,9 minutes,114,
11.05,125,Meat Jerking Beef Boys,"Murray, Latavius MIN RB",Tue Aug 21 1:37:16 p.m. ET 2018,-,131.9,[Pick made based on Pre-Draft List]
11.06,126,Monty Express,"Rams, Los Angeles LAR Def",Tue Aug 21 1:39:30 p.m. ET 2018,2 minutes,147,
11.07,127,Autodraft Jesus,"Vikings, Minnesota MIN Def",Tue Aug 21 1:39:30 p.m. ET 2018,-,115,[Pick made based on Pre-Draft List]
11.08,128,The John Dorseys,"Sanu, Mohamed ATL WR",Tue Aug 21 2:06:41 p.m. ET 2018,27 minutes,184.4,
11.09,129,Old No.7,"Lee, Marqise JAC WR",Tue Aug 21 2:09:47 p.m. ET 2018,3 minutes,-,
11.1,130,Arrowhead Hero,"Hurns, Allen DAL WR",Tue Aug 21 2:56:26 p.m. ET 2018,46 minutes,61.5,
11.11,131,Tittsburgh Feelers,"Jones, Aaron GBP RB",Tue Aug 21 3:09:46 p.m. ET 2018,13 minutes,171.4,
11.12,132,Too Hot To Handle,"Ross, John CIN WR",Tue Aug 21 3:44:09 p.m. ET 2018,34 minutes,84.9,
12.01,133,Too Hot To Handle,"Cousins, Kirk MIN QB",Tue Aug 21 3:49:14 p.m. ET 2018,5 minutes,346.12,
12.02,134,Tittsburgh Feelers,"Ryan, Matt ATL QB",Tue Aug 21 4:01:22 p.m. ET 2018,12 minutes,430.96,
12.03,135,Arrowhead Hero,"Yeldon, T.J. JAC RB",Tue Aug 21 4:01:22 p.m. ET 2018,-,173.1,[Pick made based on Pre-Draft List]
12.04,136,Old No.7,"Meredith, Cameron NOS WR",Tue Aug 21 4:16:54 p.m. ET 2018,15 minutes,24.4,
12.05,137,The John Dorseys,"Washington, James PIT WR",Tue Aug 21 4:24:52 p.m. ET 2018,7 minutes,43.7,
12.06,138,Autodraft Jesus,"Chargers, Los Angeles LAC Def",Tue Aug 21 4:24:52 p.m. ET 2018,-,109,[Pick made based on Pre-Draft List]
12.07,139,Monty Express,"Tucker, Justin BAL PK",Tue Aug 21 4:27:50 p.m. ET 2018,2 minutes,155,
12.08,140,Meat Jerking Beef Boys,"Eifert, Tyler CIN TE",Tue Aug 21 4:27:50 p.m. ET 2018,-,38.9,[Pick made based on Pre-Draft List]
12.09,141,Franchise 10,"Stills, Kenny MIA WR",Tue Aug 21 4:30:37 p.m. ET 2018,2 minutes,139.42,
12.1,142,The Sheriff,"Brown, John BAL WR",Tue Aug 21 4:30:37 p.m. ET 2018,-,143.9,[Pick made based on Pre-Draft List]
12.11,143,Vinegar Strokes,"Kirk, Christian ARI WR",Tue Aug 21 4:30:37 p.m. ET 2018,-,129.5,[Pick made based on Pre-Draft List]
12.12,144,2 Much Johnson 4 You,"Roethlisberger, Ben PIT QB",Tue Aug 21 5:56:10 p.m. ET 2018,1 hour,424.86,
13.01,145,2 Much Johnson 4 You,"Anderson, C.J. LAR RB",Tue Aug 21 5:56:32 p.m. ET 2018,22 seconds,67.4,
13.02,146,Vinegar Strokes,"Barber, Peyton TBB RB",Tue Aug 21 5:56:32 p.m. ET 2018,-,150.3,[Pick made based on Pre-Draft List]
13.03,147,The Sheriff,"Morris, Alfred SFO RB",Tue Aug 21 5:56:32 p.m. ET 2018,-,68.1,[Pick made based on Pre-Draft List]
13.04,148,Franchise 10,"Mariota, Marcus TEN QB",Tue Aug 21 6:07:24 p.m. ET 2018,10 minutes,200.92,
13.05,149,Meat Jerking Beef Boys,"Matthews, Rishard NYJ WR",Tue Aug 21 7:06:25 p.m. ET 2018,59 minutes,7.4,
13.06,150,Monty Express,"Conner, James PIT RB",Tue Aug 21 7:09:01 p.m. ET 2018,2 minutes,280,
13.07,151,Autodraft Jesus,"Zuerlein, Greg LAR PK",Tue Aug 21 7:09:01 p.m. ET 2018,-,123,[Pick made based on Pre-Draft List]
13.08,152,The John Dorseys,"Bernard, Giovani CIN RB",Tue Aug 21 7:50:32 p.m. ET 2018,41 minutes,95.9,
13.09,153,Old No.7,"Carr, Derek OAK QB",Tue Aug 21 7:56:55 p.m. ET 2018,6 minutes,254.76,
13.1,154,Arrowhead Hero,"Gallup, Michael DAL WR",Tue Aug 21 7:56:55 p.m. ET 2018,-,97.7,[Pick made based on Pre-Draft List]
13.11,155,Tittsburgh Feelers,"Sutton, Courtland DEN WR",Tue Aug 21 7:57:52 p.m. ET 2018,57 seconds,136.3,
13.12,156,Too Hot To Handle,"Golladay, Kenny DET WR",Tue Aug 21 8:07:13 p.m. ET 2018,9 minutes,207.1,
14.01,157,Too Hot To Handle,"Foreman, D'Onta HOU RB",Tue Aug 21 8:08:24 p.m. ET 2018,1 minute,10.7,
14.02,158,Tittsburgh Feelers,"Godwin, Chris TBB WR",Tue Aug 21 8:10:10 p.m. ET 2018,1 minute,185.2,
14.03,159,Arrowhead Hero,"Lockett, Tyler SEA WR",Tue Aug 21 8:25:43 p.m. ET 2018,15 minutes,231.4,
14.04,160,Old No.7,"Kittle, George SFO TE",Tue Aug 21 8:35:30 p.m. ET 2018,9 minutes,264.7,
14.05,161,The John Dorseys,"Texans, Houston HOU Def",Tue Aug 21 9:15:28 p.m. ET 2018,39 minutes,146,
14.06,162,Autodraft Jesus,"Booker, Devontae DEN RB",Tue Aug 21 9:36:06 p.m. ET 2018,20 minutes,87.8,Add Comment
14.07,163,Monty Express,"Amendola, Danny MIA WR",Tue Aug 21 9:39:08 p.m. ET 2018,3 minutes,129.42,
14.08,164,Meat Jerking Beef Boys,"Bryant, Martavis OAK WR",Tue Aug 21 10:13:30 p.m. ET 2018,34 minutes,45.9,
14.09,165,Franchise 10,"Powell, Bilal NYJ RB",Tue Aug 21 10:15:46 p.m. ET 2018,2 minutes,60.3,
14.1,166,The Sheriff,"Wilkins, Jordan IND RB",Tue Aug 21 10:15:46 p.m. ET 2018,-,60.1,[Pick made based on Pre-Draft List]
14.11,167,Vinegar Strokes,"Ware, Spencer KCC RB",Tue Aug 21 10:21:08 p.m. ET 2018,5 minutes,79,
14.12,168,2 Much Johnson 4 You,"Gostkowski, Stephen NEP PK",Tue Aug 21 10:49:46 p.m. ET 2018,28 minutes,132,
15.01,169,2 Much Johnson 4 You,"Clay, Charles BUF TE",Tue Aug 21 10:50:38 p.m. ET 2018,52 seconds,37.4,
15.02,170,Vinegar Strokes,"Winston, Jameis TBB QB",Tue Aug 21 10:50:38 p.m. ET 2018,-,236.78,[Pick made based on Pre-Draft List]
15.03,171,The Sheriff,"Williams, Tyrell LAC WR",Tue Aug 21 10:50:38 p.m. ET 2018,-,140.8,[Pick made based on Pre-Draft List]
15.04,172,Franchise 10,"Hurst, Hayden BAL TE",Tue Aug 21 10:53:10 p.m. ET 2018,2 minutes,35.3,
15.05,173,Meat Jerking Beef Boys,"Allen, Javorius BAL RB",Tue Aug 21 11:05:43 p.m. ET 2018,12 minutes,93.6,
15.06,174,Monty Express,"Mayfield, Baker CLE QB",Tue Aug 21 11:10:13 p.m. ET 2018,4 minutes,297.1,
15.07,175,Autodraft Jesus,"Riddick, Theo DET RB",Wed Aug 22 8:34:11 a.m. ET 2018,9 hours,116.5,Add Comment
15.08,176,The John Dorseys,"Boswell, Chris PIT PK",Wed Aug 22 9:03:42 a.m. ET 2018,29 minutes,83.08,
15.09,177,Old No.7,"Breida, Matt SFO RB",Wed Aug 22 9:10:42 a.m. ET 2018,7 minutes,165.5,
15.1,178,Arrowhead Hero,"Callaway, Antonio CLE WR",Wed Aug 22 10:46:58 a.m. ET 2018,1 hour,132.3,
15.11,179,Tittsburgh Feelers,"Perine, Samaje WAS RB",Wed Aug 22 10:51:56 a.m. ET 2018,4 minutes,6.7,
15.12,180,Too Hot To Handle,"Henry, Hunter LAC TE",Wed Aug 22 10:51:56 a.m. ET 2018,-,-,[Pick made based on Pre-Draft List]
16.01,181,Too Hot To Handle,"Hines, Nyheim IND RB",Wed Aug 22 11:35:27 a.m. ET 2018,43 minutes,160.9,
16.02,182,Tittsburgh Feelers,"McGuire, Elijah NYJ RB",Wed Aug 22 11:36:55 a.m. ET 2018,1 minute,85.9,
16.03,183,Arrowhead Hero,"Gesicki, Mike MIA TE",Wed Aug 22 11:36:55 a.m. ET 2018,-,40.2,[Pick made based on Pre-Draft List]
16.04,184,Old No.7,"Ballage, Kalen MIA RB",Wed Aug 22 11:51:08 a.m. ET 2018,14 minutes,40.7,
16.05,185,The John Dorseys,"Chark, D.J. JAC WR",Wed Aug 22 11:51:08 a.m. ET 2018,-,29.4,[Pick made based on Pre-Draft List]
16.06,186,Autodraft Jesus,"Kearse, Jermaine NYJ WR",Wed Aug 22 11:51:08 a.m. ET 2018,-,80.1,[Pick made based on Pre-Draft List]
16.07,187,Monty Express,"Kelly, John LAR RB",Wed Aug 22 11:52:40 a.m. ET 2018,1 minute,12.1,
16.08,188,Meat Jerking Beef Boys,"Jackson, DeSean TBB WR",Wed Aug 22 11:56:26 a.m. ET 2018,3 minutes,160.3,
16.09,189,Franchise 10,"Butker, Harrison KCC PK",Wed Aug 22 11:59:24 a.m. ET 2018,2 minutes,140,
16.1,190,The Sheriff,"Jackson, Lamar BAL QB",Wed Aug 22 11:59:24 a.m. ET 2018,-,172.54,[Pick made based on Pre-Draft List]
16.11,191,Vinegar Strokes,"Prescott, Dak DAL QB",Wed Aug 22 11:59:24 a.m. ET 2018,-,338.9,[Pick made based on Pre-Draft List]
16.12,192,2 Much Johnson 4 You,"Ginn Jr., Ted NOS WR",Wed Aug 22 12:00:30 p.m. ET 2018,1 minute,52.5,
17.01,193,2 Much Johnson 4 You,"Peterson, Adrian WAS RB",Wed Aug 22 12:01:14 p.m. ET 2018,44 seconds,195,
17.02,194,Vinegar Strokes,"Allison, Geronimo GBP WR",Wed Aug 22 12:47:30 p.m. ET 2018,46 minutes,65.3,
17.03,195,The Sheriff,"Trubisky, Mitchell CHI QB",Wed Aug 22 12:47:30 p.m. ET 2018,-,314.02,[Pick made based on Pre-Draft List]
17.04,196,Franchise 10,"Ivory, Chris BUF RB",Wed Aug 22 12:49:41 p.m. ET 2018,2 minutes,78,
17.05,197,Meat Jerking Beef Boys,"Beasley, Cole DAL WR",Wed Aug 22 12:49:41 p.m. ET 2018,-,150.2,[Pick made based on Pre-Draft List]
17.06,198,Monty Express,"Richardson, Paul WAS WR",Wed Aug 22 12:51:57 p.m. ET 2018,2 minutes,59.1,
17.07,199,Autodraft Jesus,"Lutz, Wil NOS PK",Wed Aug 22 12:51:57 p.m. ET 2018,-,148,[Pick made based on Pre-Draft List]
17.08,200,The John Dorseys,"Darnold, Sam NYJ QB",Wed Aug 22 12:51:57 p.m. ET 2018,-,205.4,[Pick made based on Pre-Draft List]
